dia,num_ventas
34,1
35,1
36,1
37,19
38,1
39,1
40,6
41,6
42,6
43,23
44,9
45,5
46,5
47,18
48,23
49,20
50,49
51,45
52,4
53,4
54,5
55,1
56,15
57,46
58,46
59,20
60,2
61,2
62,2
63,63
64,63
65,63
66,1
67,1
68,28
69,28
70,28
71,28
72,28
73,52
74,52
75,3
76,1
77,5
78,5
79,5
80,5
81,5
82,15
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,2
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,6
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,5
240,7
241,56
242,56
243,27
244,27
245,10
246,10
247,10
248,4
249,4
250,4
251,28
252,9
253,9
254,10
255,10
256,10
257,10
258,10
259,10
260,6
261,20
262,20
263,20
264,27
265,27
266,10
267,10
268,11
269,11
270,11
271,11
272,19
273,19
274,19
275,19
276,19
277,19
278,14
279,3
280,11
281,2
282,2
283,22
284,22
285,22
286,22
287,22
288,22
289,22
290,22
291,22
292,22
293,22
294,22
295,9
296,9
297,9
298,9
299,9
300,9
301,9
302,2
303,3
304,3
305,3
306,3
307,1
308,2
309,2
310,1
311,1
312,1
313,1
314,1
315,1
316,2
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,3
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,1
352,1
353,1
354,1
355,1
356,1
357,20
358,20
359,24
360,11
361,11
362,62
363,5
364,18
365,46
366,2
367,104
368,104
369,28
370,20
371,51
372,15
373,93
374,33
375,33
376,29
377,71
378,63
379,18
380,58
381,18
382,69
383,100
384,86
385,68
386,143
387,117
388,53
389,53
390,70
391,32
392,105
393,194
394,162
395,27
396,27
397,79
398,108
399,28
400,129
401,20
402,19
403,19
404,156
405,106
406,98
407,13
408,5
409,202
410,202
411,97
412,12
413,134
414,52
415,51
416,90
417,90
418,43
419,10
420,210
421,4
422,77
423,77
424,77
425,10
426,177
427,24
428,64
429,1
430,1
431,1
432,52
433,5
434,89
435,7
436,139
437,139
438,139
439,57
440,32
441,32
442,7
443,5
444,10
445,10
446,10
447,4
448,6
449,16
450,16
451,16
452,16
453,20
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,5
464,5
465,5
466,5
467,5
468,5
469,54
470,54
471,54
472,18
473,18
474,85
475,29
476,45
477,23
478,47
479,1
480,1
481,26
482,56
483,56
484,56
485,43
486,58
487,58
488,4
489,4
490,4
491,69
492,69
493,69
494,69
495,41
496,9
497,18
498,63
499,1
500,2
501,2
502,2
503,2
504,2
505,4
506,4
507,4
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,4
517,4
518,4
519,4
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,28
623,28
624,28
625,6
626,11
627,11
628,9
629,4
630,21
631,24
632,8
633,21
634,21
635,45
636,12
637,18
638,28
639,23
640,14
641,14
642,65
643,9
644,30
645,25
646,25
647,9
648,9
649,51
650,20
651,9
652,17
653,15
654,13
655,13
656,35
657,12
658,35
659,7
660,7
661,1
662,3
663,2
664,17
665,37
666,29
667,15
668,15
669,15
670,44
671,14
672,5
673,1
674,22
675,22
676,4
677,31
678,16
679,11
680,8
681,8
682,8
683,8
684,24
685,11
686,9
687,21
688,1
689,12
690,1
691,27
692,19
693,13
694,12
695,32
696,13
697,13
698,11
699,12
700,12
701,11
702,13
703,5
704,5
705,21
706,64
707,29
708,5
709,2
710,21
711,7
712,41
713,41
714,9
715,27
716,55
717,93
718,32
719,24
720,12
721,4
722,5
723,9
724,9
725,8
726,30
727,30
728,1
729,8
730,8
731,8
732,4
733,1
734,13
735,10
736,7
737,7
738,49
739,14
740,78
741,78
742,16
743,39
744,91
745,137
746,38
747,68
748,33
749,24
750,1
751,76
752,38
753,53
754,132
755,27
756,77
757,57
758,75
759,40
760,175
761,125
762,3
763,1
764,4
765,60
766,76
767,144
768,72
769,30
770,1
771,21
772,31
773,199
774,104
775,65
776,14
777,26
778,16
779,119
780,78
781,123
782,92
783,17
784,19
785,11
786,48
787,119
788,144
789,36
790,9
791,34
792,50
793,30
794,99
795,196
796,51
797,22
798,30
799,31
800,14
801,168
802,11
803,81
804,63
805,55
806,8
807,10
808,131
809,25
810,39
811,6
812,31
813,7
814,109
815,3
816,3
817,12
818,12
819,41
820,7
821,7
822,15
823,5
824,74
825,27
826,27
827,18
828,5
829,73
830,4
831,5
832,5
833,3
834,21
835,4
836,21
837,33
838,15
839,1
840,1
841,25
842,2
843,2
844,2
845,1
846,6
847,10
848,10
849,10
850,4
851,4
852,4
853,6
854,6
855,6
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,2
870,2
871,2
872,2
873,2
874,2
875,2
876,2
877,2
878,2
879,2
880,2
881,2
882,2
883,2
884,2
885,2
886,2
887,2
888,2
889,2
890,2
891,2
892,2
893,2
894,2
895,3
896,3
897,3
898,3
899,3
900,3
901,3
902,3
903,3
904,3
905,3
906,3
907,3
908,3
909,3
910,3
911,3
912,3
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,3
923,3
924,3
925,2
926,2
927,2
928,2
929,2
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
